student_id,student_name,student_age,student_marks,student_class
101,Aman,14,88,9A
102,Riya,15,92,10B
103,Karan,14,79,9A
104,Neha,16,85,10A
105,Vikram,15,90,10B
106,Pooja,14,76,9B
107,Rahul,15,81,10A
108,Simran,16,87,10B
109,Arjun,14,69,9A
110,Kavya,15,95,10A
111,Rohit,16,73,10B
112,Anjali,15,84,9B
113,Deepak,14,78,9A
114,Sneha,15,88,10A
115,Manish,16,91,10B
116,Tanya,14,67,9B
117,Harsh,15,82,10A
118,Meena,16,86,10B
119,Sahil,14,74,9A
120,Priya,15,89,10A
121,Nitin,16,93,10B
122,Komal,15,77,9B
123,Varun,14,80,9A
124,Isha,15,85,10A
125,Gaurav,16,72,10B
126,Payal,14,90,9B
127,Mohit,15,83,10A
128,Divya,16,79,10B
129,Lokesh,14,88,9A
130,Nisha,15,92,10A
